mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,$.orders[].header.orderID,/OperationsExport/Orders/Order/Header/Order_ID,Trim surrounding whitespace; reject empty/null-like text such as literal NaN; preserve case and leading zeros; use as the canonical business key.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-02,orders,source_system_record_id,both,$.orders[].header.sourceSystemRecordID,/OperationsExport/Orders/Order/Header/Source_System_Record_ID,Trim surrounding whitespace; reject empty/null-like text such as literal NaN; preserve the structured source record identifier.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-03,orders,customer_id,both,$.orders[].header.customerID,/OperationsExport/Orders/Order/Header/Customer_ID,Trim surrounding whitespace; reject empty/null-like text such as literal NaN; preserve case/leading zeros; validate against customers.customer_id.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-04,orders,order_timestamp,both,$.orders[].header.orderTimestamp,/OperationsExport/Orders/Order/Header/Order_Timestamp,Parse JSON as YYYY-MM-DD HH:MM:SS and XML as DD/MM/YYYY HH:MM:SS; emit YYYY-MM-DD HH:MM:SS.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-05,orders,sales_channel,both,$.orders[].header.salesChannel,/OperationsExport/Orders/Order/Header/Sales_Channel,Trim surrounding whitespace; preserve the structured category.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-06,orders,payment_method,both,$.orders[].header.paymentMethod,/OperationsExport/Orders/Order/Header/Payment_Method,Trim surrounding whitespace; preserve the structured category.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-07,orders,currency,both,$.orders[].header.currency,/OperationsExport/Orders/Order/Header/Currency,Trim surrounding whitespace; preserve the structured currency code.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-08,orders,nearest_warehouse,both,$.orders[].header.nearestWarehouse,/OperationsExport/Orders/Order/Header/Nearest_Warehouse,Trim surrounding whitespace; preserve the structured warehouse name.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-09,orders,order_status,both,$.orders[].header.orderStatus,/OperationsExport/Orders/Order/Header/Order_Status,Trim surrounding whitespace; preserve the structured category.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-10,orders,order_price,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,"Calculate each rounded line_revenue, then sum by canonical order_id and round order_price to two decimals.",Derive from reconciled canonical order_items; compare each reported source Order_Price within 0.01 in VAL-ARITH-PRICE-01/VAL-ARITH-TOTAL-01.,Solution §4.1-4.2 and §6.4; VAL-ARITH-PRICE-01
